"brewery","name","year","style"
"FUERST WIACEK Berlin","Unreal!","N/A","IPA - Imperial / Double New England / Hazy"
"Omnipollo","Maz Non-Alcoholic","N/A","Non-Alcoholic - Pale Ale"
"Pivovar Matuška","Dvanáctka","N/A","Pilsner - Czech / Bohemian"
"Brauhaus Riegele","Commerzienrat Riegele Privat","N/A","Lager - Helles"
"Mahrs Bräu","aU Ungespundet Naturtrüb","N/A","Kellerbier / Zwickelbier"
"Northern Monk","PATRONS PROJECT 29.03 // ROB C ART // VIRIDIS // OAT CREAM DIPA","N/A","IPA - Imperial / Double Milkshake"
"SOMA Beer","Cream","N/A","IPA - Imperial / Double New England / Hazy"
"FUERST WIACEK Berlin","Stellar!","N/A","IPA - Imperial / Double New England / Hazy"
"Sudden Death Brewing Co.","Eat My Haze 2 – FULLY LOADED","N/A","IPA - New England / Hazy"
"Birrificio Italiano","Tipopils","N/A","Pilsner - Italian"
"Basqueland Brewing","Zugarramurdi","N/A","Stout - Other"
"Track Brewing Company","Sonoma","N/A","Pale Ale - New England / Hazy"
"Track Brewing Company","Impasse","N/A","IPA - Imperial / Double New England / Hazy"
"Basqueland Brewing","One Trick Pony","N/A","IPA - Cold"
"Sibeeria Brewery","Yummy Raspberry, Blackberry & Vanilla","N/A","Sour - Smoothie / Pastry"
"Azvex Brewing Company","Pangea Ultima","N/A","IPA - New England / Hazy"
"Azvex Brewing Company","Barbarian Robin","N/A","IPA - New England / Hazy"
"Azvex Brewing Company","Grindelwald Fluctuation","N/A","IPA - New England / Hazy"
"Sibeeria Brewery","Zima 2025","2025","Barleywine - English"
"Brasserie Dieu du Ciel!","Dernière Volonté Réserve Spéciale (Vieillie en Fût de Pinot Noir)","N/A","IPA - Belgian"
"Simian Ales","Local Legend","N/A","Pale Ale - American"
"Verdant Brewing Co","PuTTTy","2026","IPA - Triple New England / Hazy"
"Evil Twin Brewing NYC","ET STAY HOME 19 - FROSTY WINTER EDITION","N/A","Sour - Fruited Gose"
"Apex Brewing Company","Stolen Valor DIPA","N/A","IPA - Imperial / Double New England / Hazy"
"Equilibrium Brewery","Life After Death Star (Batch 7) 2025","2025","Stout - Imperial / Double Pastry"
"FUERST WIACEK Berlin","Autosave","N/A","IPA - New England / Hazy"
"The Alchemist","Focal Banger","N/A","IPA - American"
"The Alchemist","Heady Topper","N/A","IPA - Imperial / Double"
"Brasserie Dieu du Ciel!","Equinoxe Du Printemps Bourbon (2025)","2025","Scotch Ale / Wee Heavy"
"Hoof Hearted Brewing","Stackin' Paper (Dec 2025)","2025","IPA - Triple New England / Hazy"
"The Drowned Lands Brewery","Twilight","N/A","IPA - Black / Cascadian Dark Ale"
"The Drowned Lands Brewery","Amai","N/A","Belgian Strong Dark Ale"
"Revolution Brewing","Straight Jacket (2025)","2025","Barleywine - English"
"Prairie Artisan Ales","Tiny Esses","N/A","Sour - Other"
"Prairie Artisan Ales","Joyfully Stuf't","N/A","Stout - Imperial / Double Pastry"
"Mortalis Brewing Company","Hydra | Key Lime + Raspberry + Cherry","N/A","Sour - Smoothie / Pastry"
"Grimm Artisanal Ales","Gathering Cabernet Franc","N/A","Sour - Fruited"
"Grimm Artisanal Ales","Heliogram","N/A","Sour - Other"
"Grimm Artisanal Ales","Super Spruce","N/A","Sour - Traditional Gose"
"450 North Brewing Company","SLUSHY XXL: Millions","N/A","Sour - Smoothie / Pastry"
